case	variant	artifact	fixed	targets	expected	tier	source_family	original_dsl	project	source_url	source_bug_id	translation_notes
medium_merkle_airdrop_nullifier	vulnerable	corpus/realistic_artifacts/medium_merkle_airdrop_nullifier_vulnerable	public	returns	unsafe	medium	Merkle airdrop nullifier binding	Circom/Aztec/MACI	Private airdrop circuits	https://github.com/zksecurity/zkbugs	Nullifier and Merkle binding bugs	Vulnerable variant models a nullable epoch guard that can disable nullifier equality after a long commitment/root chain.
medium_merkle_airdrop_nullifier	fixed	corpus/realistic_artifacts/medium_merkle_airdrop_nullifier_fixed	public	returns	verified	medium	Merkle airdrop nullifier binding	Circom/Aztec/MACI	Private airdrop circuits	https://github.com/zksecurity/zkbugs	Nullifier and Merkle binding bugs	Fixed variant directly binds claimed nullifier to the long chain output.
medium_rlp_tx_calldata	vulnerable	corpus/realistic_artifacts/medium_rlp_tx_calldata_vulnerable	public	returns	unsafe	medium	RLP transaction calldata binding	Halo2	Scroll zkevm-circuits	https://github.com/zksecurity/zkbugs	RLP/CallDataRLC binding bugs	Vulnerable variant models a guard/predicate bypass: calldata equality is only enforced when the private guard is non-zero.
medium_rlp_tx_calldata	fixed	corpus/realistic_artifacts/medium_rlp_tx_calldata_fixed	public	returns	verified	medium	RLP transaction calldata binding	Halo2	Scroll zkevm-circuits	https://github.com/zksecurity/zkbugs	RLP/CallDataRLC binding bugs	Fixed variant directly binds the claimed calldata accumulator to the public anchor.
medium_bigint_modmul	vulnerable	corpus/realistic_artifacts/medium_bigint_modmul_vulnerable	public	returns	unsafe	medium	Big integer modular multiplication	Circom	circom-bigint	https://github.com/zksecurity/zkbugs	BigMod missing range checks	Vulnerable variant uses a quotient/remainder equation without a range bound tying the returned remainder to the reduced limb output.
medium_bigint_modmul	fixed	corpus/realistic_artifacts/medium_bigint_modmul_fixed	public	returns	verified	medium	Big integer modular multiplication	Circom	circom-bigint	https://github.com/zksecurity/zkbugs	BigMod missing range checks	Fixed variant directly binds the remainder target to the public reduction anchor.
medium_chacha_quarter_round	vulnerable	corpus/realistic_artifacts/medium_chacha_quarter_round_vulnerable	public	returns	unsafe	medium	ChaCha quarter-round arithmetic	Circom	reclaimprotocol/circom-chacha20	https://github.com/zksecurity/zkbugs	ChaCha XOR/add/rotation bugs	Vulnerable variant preserves a long add/xor/rotate chain and exposes a high-carry alias for the claimed round word.
medium_chacha_quarter_round	fixed	corpus/realistic_artifacts/medium_chacha_quarter_round_fixed	public	returns	verified	medium	ChaCha quarter-round arithmetic	Circom	reclaimprotocol/circom-chacha20	https://github.com/zksecurity/zkbugs	ChaCha XOR/add/rotation bugs	Fixed variant directly binds the claimed round output to the public anchor.
medium_fixed_point_order	vulnerable	corpus/realistic_artifacts/medium_fixed_point_order_vulnerable	public	returns	unsafe	medium	Fixed-point order update	Arkworks	penumbra-zone/penumbra	https://github.com/zksecurity/zkbugs	Fixed-point comparison/addition bugs	Vulnerable variant models a settlement-delta conservation equation that can absorb the returned fixed-point order state.
medium_fixed_point_order	fixed	corpus/realistic_artifacts/medium_fixed_point_order_fixed	public	returns	verified	medium	Fixed-point order update	Arkworks	penumbra-zone/penumbra	https://github.com/zksecurity/zkbugs	Fixed-point comparison/addition bugs	Fixed variant directly binds the order result alias to the public anchor.
