case	original_dsl	project	source_url	source_bug_id	original_bug_path	translation_notes
vuln_binary_merkle_selector	Circom	ZK-Kit BinaryMerkleRoot	https://pse.dev/blog/under-constrained-bug-in-binary-merkle-root-circuit-fixed-in-v200	BinaryMerkleRoot selector booleanity	blog	Preserves MultiMux-style non-boolean path selector with lightweight node_hash.
vuln_maci_state_index_bypass	Circom	MACI 1.0	https://github.com/0xPARC/zk-bug-tracker	MACI 1.0 under-constrained circuit	zk-bug-tracker#10	Preserves invalid-message guard that skips state index binding.
vuln_aztec_nullifier_index_alias	Custom/Aztec	Aztec 2.0	https://github.com/0xPARC/zk-bug-tracker	Aztec 2.0 missing bit length check	zk-bug-tracker#6	Preserves truncated membership index vs wider nullifier index.
vuln_bigint_remainder_overflow	Circom	circom-bigint	https://github.com/zksecurity/zkbugs/tree/main/dataset/circom/0xbok/circom-bigint/veridise_missing_range_checks_in_bigmod	veridise_missing_range_checks_in_bigmod	circom/0xbok/circom-bigint/veridise_missing_range_checks_in_bigmod	Preserves BigMod equation without remainder limb bounds.
vuln_evm_div_mod_remainder	zkEVM DSL	zkEVM arithmetic	https://github.com/0xPARC/zk-bug-tracker	zkEVM div/mod missing remainder bound	zk-bug-tracker	Preserves A*B+C equation without C<A.
vuln_polygon_smt_rkey_bit	PIL/zkASM	Polygon zkEVM prover	https://github.com/0xPARC/zk-bug-tracker	Polygon zkEVM fake SMT inclusion	zk-bug-tracker#21	Preserves missing boolean constraint on rkeyBit.
vuln_scroll_shift_byte_binding	Halo2	Scroll zkEVM	https://github.com/zksecurity/zkbugs	Scroll shift helper binding	BUGS.md	Preserves helper byte driving shift result without stack-byte binding.
vuln_circom_decoder_onehot	Circom	circomlib	https://veridise.com/wp-content/uploads/2024/11/VAR_EF_0xparc_Circom.pdf	V-CIRCOMLIB-VUL-001 Decoder accepting bogus output	circomlib/circuits/multiplexer.circom	Preserves Decoder one-hot sum without boolean output constraints.
vuln_mimc_assigned_not_constrained	Circom	circomlib	https://github.com/0xPARC/zk-bug-tracker	MiMC assigned but not constrained	zk-bug-tracker#14	Preserves computed hash checked separately from exposed claimed hash.
vuln_r1cs_inverse_result	Arkworks/R1CS	ark-r1cs-std	https://rustsec.org/advisories/RUSTSEC-2021-0075.html	RUSTSEC-2021-0075 mul_by_inverse	ark_r1cs_std::FieldVar::mul_by_inverse	Preserves checked inverse with unconstrained multiplication result.
vuln_montgomery_degenerate_point	Circom	circomlib	https://veridise.com/wp-content/uploads/2024/11/VAR_EF_0xparc_Circom.pdf	V-CIRCOMLIB-VUL-003 Montgomery2Edwards	circomlib/circuits/montgomery.circom	Preserves coordinate equations without exceptional denominator exclusions.
vuln_bits2point_free_output	Circom	circomlib	https://veridise.com/wp-content/uploads/2024/11/VAR_EF_0xparc_Circom.pdf	V-CIRCOMLIB-VUL-009 Bits2Point	circomlib/circuits/pointbits.circom	Preserves decoded x coordinate without curve/sign constraints.
vuln_halo2_rlp_byte_range	Halo2	Scroll zkevm-circuits	https://github.com/zksecurity/zkbugs/tree/main/dataset/halo2/scroll-tech/zkevm-circuits/zellic_Missing_range_check_for_byte_values_in_RLP_Circuit	Missing range check for byte values in RLP Circuit	halo2/scroll-tech/zkevm-circuits/zellic_Missing_range_check_for_byte_values_in_RLP_Circuit	Preserves byte contribution to RLC without byte range check.
vuln_halo2_calldata_rlc_binding	Halo2	Scroll zkevm-circuits	https://github.com/zksecurity/zkbugs/tree/main/dataset/halo2/scroll-tech/zkevm-circuits/zellic_The_CallDataRLC_value_in_the_fixed_assignments_is_not_validated_against_the_actual_calldata_in_Tx_Circuit	CallDataRLC fixed assignment not validated	halo2/scroll-tech/zkevm-circuits/zellic_The_CallDataRLC_value_in_the_fixed_assignments_is_not_validated_against_the_actual_calldata_in_Tx_Circuit	Preserves fixed calldata RLC separate from actual calldata RLC.
